"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","WIDTH_SEQ_NO","WIDTH_TEXT"
"2026/01/22","IR","113","ZAB",10,"4 NM EITHER SIDE OF CENTERLINE FROM C TO D;"
"2026/01/22","IR","113","ZAB",15,"5 NM EITHER SIDE OF CENTERLINE FROM D TO M2;"
"2026/01/22","IR","113","ZAB",20,"5 NM EITHER SIDE OF CENTERLINE FOR ALL ALTERNATE ENTRIES AND EXITS."
"2026/01/22","IR","117","ZFW ZME",5,"3 NM EITHER SIDE OF CENTERLINE FROM A TO  D;"
"2026/01/22","IR","117","ZFW ZME",10,"2 NM EITHER SIDE OF CENTERLINE FROM D TO  E;"
"2026/01/22","IR","117","ZFW ZME",15,"2 NM LEFT AND 10 NM RIGHT OF CENTERLINE FROM E TO  F;"
"2026/01/22","IR","117","ZFW ZME",20,"2 NM EITHER SIDE OF CENTERLINE FROM F TO G (UNTIL ENTERING R-2402)."
"2026/01/22","IR","120","ZME",5,"5 NM EITHER SIDE OF CENTERLINE FROM A TO"
"2026/01/22","IR","120","ZME",10,"N35-28 W93-10; 3 NM LEFT AND 5 NM RIGHT OF CENTERLINE TO B; 5"
"2026/01/22","IR","120","ZME",15,"NM LEFT AND 8 NM RIGHT OF CENTERLINE FROM B TO C; 5 NM EITHER"
"2026/01/22","IR","120","ZME",20,"SIDE OF CENTERLINE FROM C TO D; 5 NM LEFT AND 3 NM RIGHT OF"
"2026/01/22","IR","120","ZME",25,"CENTERLINE FROM D TO E."
"2026/01/22","IR","121","ZFW ZME",5,"2 NM EITHER SIDE OF CENTERLINE FROM A TO B;"
"2026/01/22","IR","121","ZFW ZME",10,"2 NM WIDENING TO 6 NM LEFT AND 3 NM RIGHT OF"
"2026/01/22","IR","121","ZFW ZME",15,"CENTERLINE FROM B TO C;"
"2026/01/22","IR","121","ZFW ZME",20,"8 NM EITHER SIDE OF CENTERLINE FROM C TO E;"
"2026/01/22","IR","121","ZFW ZME",25,"5 NM LEFT AND 3 NM RIGHT OF CENTERLINE FROM E TO F."
"2026/01/22","IR","123","ZFW ZHU",20,"5 NM EITHER SIDE OF CENTERLINE FROM A TO C;"
"2026/01/22","IR","123","ZFW ZHU",25,"13 NM EITHER SIDE OF CENTERLINE FROM C TO F; 13 NM TAPERING TO 5"
"2026/01/22","IR","123","ZFW ZHU",30,"NM EITHER SIDE OF CENTERLINE FROM F TO G; 5 NM EITHER SIDE OF"
"2026/01/22","IR","123","ZFW ZHU",35,"CENTERLINE FROM G TO J. ALTERNATE EXIT H: 5 NM EITHER SIDE OF"
"2026/01/22","IR","123","ZFW ZHU",40,"CENTERLINE FROM H1 TO HB."
"2026/01/22","IR","124","ZFW ZHU",5,"5 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","126","ZDV ZLA ZLC",5,"5 NM EITHER SIDE OF CENTERLINE FROM A TO H;"
"2026/01/22","IR","126","ZDV ZLA ZLC",10,"4 NM EITHER SIDE OF CENTERLINE FROM H TO M; 3 NM EITHER SIDE OF"
