"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","SKED_SEQ_NO","MONTH","DAY","HOUR"
"2026/02/19","00329.14","H","AL","13AL","FORT NOVOSEL (OZARK)","US",1,"ATTENDED DURG SKED TRNG.","",""
"2026/02/19","00329.15","H","AL","14AL","FORT NOVOSEL (HARTFORD)","US",1,"ATTENDED DURG SKED TRNG","",""
"2026/02/19","00329.16","H","AL","15AL","FORT NOVOSEL (HARTFORD)","US",1,"UNATNDD EXCP DURG TRNG","",""
"2026/02/19","00329.17","H","AL","16AL","FORT NOVOSEL (OZARK)","US",1,"ATTENDED DURG SKED TRNG.","",""
"2026/02/19","00329.18","H","AL","17AL","FORT NOVOSEL/NEWTON","US",1,"ATTENDED DURG SKED TRNG.","",""
"2026/02/19","00329.2","H","AL","19AL","FORT NOVOSEL (OZARK)","US",1,"ATTENDED DURG SKED TRNG","",""
"2026/02/19","00329.21","H","AL","20AL","FORT NOVOSEL (ELBA)","US",1,"ATTENDED DURG SKED TRNG","",""
"2026/02/19","00329.22","H","AL","21AL","FORT NOVOSEL (OPP)","US",1,"ATTENDED DURG SKED TRNG","",""
"2026/02/19","00329.23","H","AL","22AL","FORT NOVOSEL (NEW BROCKTON)","US",1,"ATTENDED DURG SKED TRNG","",""
"2026/02/19","00329.24","H","AL","23AL","FORT NOVOSEL (OZARK)","US",1,"ATTENDED DURG SKED TRNG","",""
"2026/02/19","00329.25","H","AL","07AL","FORT NOVOSEL (SAMSON)","US",1,"ATTENDED DURG SKED TRNG","",""
"2026/02/19","00331.05","H","AL","65AL","FULTONDALE","US",1,"UNATNDD","",""
"2026/02/19","00333.","A","AL","GAD","GADSDEN","US",2,"ALL","MON-FRI","0800-1800"
"2026/02/19","00333.","A","AL","GAD","GADSDEN","US",3,"ALL","SAT","0900-1700"
"2026/02/19","00333.01","H","AL","0AL7","GADSDEN","US",1,"UNATNDD","",""
"2026/02/19","00336.21","H","AL","41AL","GARDENDALE","US",1,"UNATNDD","",""
"2026/02/19","00336.5","A","AL","AL18","GARDENDALE","US",1,"IREG","",""
"2026/02/19","00341.1","A","AL","AL43","GEIGER","US",1,"UNATNDD","",""
"2026/02/19","00344.1","A","AL","33J","GENEVA","US",1,"ALL","MON-FRI","0800-2300"
"2026/02/19","00344.13","H","AL","8AL9","GENEVA","US",1,"ALL","ALL","ALL"
"2026/02/19","00350.1","A","AL","7A0","GREENSBORO","US",1,"UNATTND","",""
"2026/02/19","00353.1","A","AL","PRN","GREENVILLE","US",1,"ALL","MON-FRI","0800-1700"
"2026/02/19","00353.1","A","AL","PRN","GREENVILLE","US",2,"ALL","SAT-SUN","UNATNDD"
"2026/02/19","00353.11","A","AL","71AL","GREENVILLE","US",1,"UNATNDD","",""
"2026/02/19","00353.12","A","AL","68AL","GREENVILLE","US",1,"UNATNDD","",""
"2026/02/19","00353.13","H","AL","29AL","GREENVILLE","US",1,"UNATNDD","",""
"2026/02/19","00359.12","C","AL","08AL","GULF SHORES","US",2,"ALL","ALL","ALL"
"2026/02/19","00359.68","C","AL","AL75","GULF SHORES","US",1,"UNATNDD","",""
"2026/02/19","00359.69","C","AL","AL96","GULF SHORES","US",1,"UNATNDD","",""
"2026/02/19","00359.7","A","AL","JKA","GULF SHORES","US",6,"ALL","ALL","0600-2200"
"2026/02/19","00359.71","H","AL","90AL","GULF SHORES","US",1,"ALL","ALL","ALL"
"2026/02/19","00360.","A","AL","8A1","GUNTERSVILLE","US",2,"ALL","MON - SAT","0800-1700"
"2026/02/19","00360.1","H","AL","5AL0","GUNTERSVILLE","US",1,"ALL","ALL","ALL"
"2026/02/19","00361.02","A","AL","AL10","GURLEY","US",1,"IRREG","",""
"2026/02/19","00363.","A","AL","1M4","HALEYVILLE","US",1,"ALL","MON-FRI","0800-1700"
"2026/02/19","00366.1","A","AL","HAB","HAMILTON","US",1,"ALL","MON-FRI","0800-1630"
"2026/02/19","00368.2","A","AL","2AL7","HANCEVILLE","US",1,"UNATNDD","",""
"2026/02/19","00371.","A","AL","AL92","HARPERSVILLE","US",1,"UNATNDD","",""
"2026/02/19","00372.","A","AL","AL62","HARTFORD","US",1,"ALL","ALL","ALL"
"2026/02/19","00372.01","A","AL","3AL1","HARTFORD","US",1,"UNATNDD","",""
"2026/02/19","00374.1","A","AL","5M0","HARTSELLE","US",3,"ALL","ALL","0800-1700"
"2026/02/19","00374.5","A","AL","00AL","HARVEST","US",1,"UNATNDD","",""
"2026/02/19","00375.5","A","AL","M38","HAZEL GREEN","US",1,"ALL","TUE-SAT","0800-1700"
"2026/02/19","00375.6","A","AL","AL99","HAZEL GREEN","US",1,"IREG","",""
"2026/02/19","00376.","A","AL","HDL","HEADLAND","US",1,"ALL","MON - FRI","0800 - 1700"
"2026/02/19","00376.","A","AL","HDL","HEADLAND","US",2,"ALL","SAT - SUN","UNATTENDED"
"2026/02/19","00385.02","A","AL","AL93","HUNTSVILLE","US",1,"IREG","",""
"2026/02/19","00385.1","A","AL","HSV","HUNTSVILLE","US",1,"ALL","ALL","ALL"
"2026/02/19","00385.12","H","AL","AL36","HUNTSVILLE","US",1,"ALL","ALL","ALL"
"2026/02/19","00385.2","A","AL","3M5","HUNTSVILLE","US",1,"UNATNDD","",""
"2026/02/19","00385.3","A","AL","4AL8","HUNTSVILLE","US",2,"IREG","",""
"2026/02/19","00385.4","A","AL","MDQ","HUNTSVILLE","US",1,"ALL","MON-FRI","0730-2130"
"2026/02/19","00385.4","A","AL","MDQ","HUNTSVILLE","US",2,"ALL","SAT-SUN","0730-2000"
"2026/02/19","00385.42","H","AL","32AL","HUNTSVILLE","US",1,"UNATNDD","",""
"2026/02/19","00387.","A","AL","AL05","HURTSBORO","US",1,"UNATNDD","",""
"2026/02/19","00388.04","A","AL","2AL6","IRVINGTON","US",1,"UNATTENDED","",""
"2026/02/19","00394.1","A","AL","4R3","JACKSON","US",1,"UNATNDD","",""
"2026/02/19","00395.01","A","AL","3AL5","JACKSONVILLE","US",1,"UNATNDD","",""
"2026/02/19","00401.02","H","AL","AL63","JASPER","US",1,"ALL","ALL","ALL"
"2026/02/19","00401.3","A","AL","JFX","JASPER","US",1,"ALL","MON - SAT","0700-2000"
"2026/02/19","00405.","A","AL","5AL7","KINSTON","US",1,"UNATNDD","",""
"2026/02/19","00410.1","A","AL","7A3","LANETT","US",4,"ATTENDED","ALL","0800-1700"
"2026/02/19","00410.3","A","AL","4AL9","LAPINE","US",1,"ALL","ALL","ALL"
"2026/02/19","00412.1","A","AL","AL88","LILLIAN","US",1,"ALL","ALL","ALL"
"2026/02/19","00419.","A","AL","AL35","LOXLEY","US",1,"UNATNDD","",""
"2026/02/19","00419.05","A","AL","57AL","LOXLEY","US",1,"UNATNDD","",""
