"EFF_DATE","SITE_NO","SITE_TYPE_CODE","FACILITY_TYPE","STATE_CODE","FACILITY_ID","CITY","COUNTRY_CODE","ICAO_ID","FACILITY_NAME","REGION_CODE","TWR_OPERATOR_CODE","TWR_CALL","TWR_HRS","PRIMARY_APCH_RADIO_CALL","APCH_P_PROVIDER","APCH_P_PROV_TYPE_CD","SECONDARY_APCH_RADIO_CALL","APCH_S_PROVIDER","APCH_S_PROV_TYPE_CD","PRIMARY_DEP_RADIO_CALL","DEP_P_PROVIDER","DEP_P_PROV_TYPE_CD","SECONDARY_DEP_RADIO_CALL","DEP_S_PROVIDER","DEP_S_PROV_TYPE_CD","CTL_FAC_APCH_DEP_CALLS","APCH_DEP_OPER_CODE","CTL_PRVDING_HRS","SECONDARY_CTL_PRVDING_HRS"
"2026/02/19","50039.1","A","NON-ATCT","AK","ANV","ANVIK","US","PANV","ANVIK","AAL","","","","ANCHORAGE ARTCC","ZAN","C","","","","ANCHORAGE ARTCC","ZAN","C","","","","","","",""
"2026/02/19","12591.","A","NON-ATCT","NE","ANW","AINSWORTH","US","KANW","AINSWORTH RGNL","ACE","","","","DENVER ARTCC","ZDV","C","","","","DENVER ARTCC","ZDV","C","","","","","","",""
"2026/02/19","06463.","A","NON-ATCT","KS","ANY","ANTHONY","US","KANY","ANTHONY MUNI","ACE","","","","WICHITA","ICT","A","","","","WICHITA","ICT","A","","","","","","",""
"2026/02/19","04138.","A","NON-ATCT","ID","AOC","ARCO","US","KAOC","ARCO-BUTTE COUNTY","ANM","","","","SALT LAKE ARTCC","ZLC","C","","","","SALT LAKE ARTCC","ZLC","C","","","","","","",""
"2026/02/19","18085.1","A","NON-ATCT","OH","AOH","LIMA","US","KAOH","LIMA ALLEN COUNTY","AGL","","","","COLUMBUS","CMH","A","","","","COLUMBUS","CMH","A","","","","","","",""
"2026/02/19","19685.","A","NON-ATCT","PA","AOO","ALTOONA","US","KAOO","ALTOONA/BLAIR COUNTY","AEA","","","","JOHNSTOWN","JST","A","CLEVELAND ARTCC","ZOB","C","JOHNSTOWN","JST","A","CLEVELAND ARTCC","ZOB","C","","","",""
"2026/02/19","11531.","A","NON-ATCT","MO","AOV","AVA","US","KAOV","AVA BILL MARTIN MEML","ACE","","","","SPRINGFIELD","SGF","A","","","","SPRINGFIELD","SGF","A","","","","","","",""
"2026/02/19","02572.","A","ATCT","CO","APA","DENVER","US","KAPA","CENTENNIAL","ANM","F","CENTENNIAL","24","DENVER","D01","T","","","","DENVER","D01","T","","","","","","",""
"2026/02/19","01933.","A","ATCT","CA","APC","NAPA","US","KAPC","NAPA COUNTY","AWP","F","NAPA","0700-2000","OAKLAND ARTCC","ZOA","C","","","","OAKLAND ARTCC","ZOA","C","","","","","","",""
"2026/02/19","03379.","A","ATCT","FL","APF","NAPLES","US","KAPF","NAPLES MUNI","ASO","FCT","NAPLES","0600-2200","FORT MYERS","RSW","A","MIAMI ARTCC","ZMA","C","FORT MYERS","RSW","A","MIAMI ARTCC","ZMA","C","","","",""
"2026/02/19","08441.3","A","NON-ATCT","MD","APG","ABERDEEN PROVING GROUNDS (ABERDEEN)","US","KAPG","PHILLIPS AAF","AEA","","","","POTOMAC","PCT","T","","","","POTOMAC","PCT","T","","","","","","",""
"2026/02/19","25770.","A","NON-ATCT","VA","APH","BOWLING GREEN","US","KAPH","AP HILL LZ (FORT AP HILL)","AEA","","","","POTOMAC","PCT","T","","","","POTOMAC","PCT","T","","","","","","",""
"2026/02/19","09518.","A","ATCT-RAPCON","MI","APN","ALPENA","US","KAPN","ALPENA COUNTY RGNL","AGL","A","ALPENA","0800-1600 WKDAYS; EXCP HOLS (ANG).","ALPENA","APN","A","MINNEAPOLIS ARTCC","ZMP","C","ALPENA","APN","A","MINNEAPOLIS ARTCC","ZMP","C","ALPENA","A","0800-1600 WKDAYS (ANG).","1600-0800"
"2026/02/19","07722.2","A","NON-ATCT","LA","APS","RESERVE","US","KAPS","PORT OF SOUTH LOUISIANA EXEC RGNL","ASW","","","","NEW ORLEANS","MSY","A","","","","NEW ORLEANS","MSY","A","","","","","","",""
"2026/02/19","23029.5","A","NON-ATCT","TN","APT","JASPER","US","KAPT","MARION COUNTY/BROWN FLD","ASO","","","","CHATTANOOGA","CHA","A","ATLANTA ARTCC","ZTL","C","CHATTANOOGA","CHA","A","ATLANTA ARTCC","ZTL","C","","","",""
"2026/02/19","01248.1","A","NON-ATCT","CA","APV","APPLE VALLEY","US","KAPV","APPLE VALLEY","AWP","","",""," JOSHUA","JCF","T","","",""," JOSHUA","JCF","T","","","","","","",""
"2026/02/19","50623.4","A","NON-ATCT","AK","AQH","QUINHAGAK","US","PAQH","QUINHAGAK","AAL","","","","ANCHORAGE ARTCC","ZAN","C","","","","ANCHORAGE ARTCC","ZAN","C","","","","","","",""
"2026/02/19","24228.","A","NON-ATCT","TX","AQO","LLANO","US","KAQO","LLANO MUNI","ASW","","","","HOUSTON ARTCC","ZHU","C","","","","HOUSTON ARTCC","ZHU","C","","","","","","",""
"2026/02/19","10518.","A","NON-ATCT","MN","AQP","APPLETON","US","KAQP","APPLETON MUNI","AGL","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","","","",""
