"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_END_ID","ILS_LOC_ID","SYSTEM_TYPE_CODE","STATE_NAME","REGION_CODE","RWY_LEN","RWY_WIDTH","CATEGORY","OWNER","OPERATOR","APCH_BEAR","MAG_VAR","MAG_VAR_HEMIS","COMPONENT_STATUS","COMPONENT_STATUS_DATE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","LAT_LONG_SOURCE_CODE","SITE_ELEVATION","LOC_FREQ","BK_COURSE_STATUS_CODE"
"2026/02/19","00754.","A","AZ","PHX","PHOENIX","US","07R","AHA","LD","ARIZONA","AWP",7800,150,"I","O-CITY OF PHOENIX","O-CITY OF PHOENIX",78.03,12,"E","OPERATIONAL IFR","2000/08/30",33,25,43.8252,"N",33.42884033,111,59,52.2902,"W",-111.99785838,"T",1124.2,110.75,""
"2026/02/19","00754.","A","AZ","PHX","PHOENIX","US","08","SYQ","LD","ARIZONA","AWP",11489,150,"I","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION",78.06,12,"E","OPERATIONAL RESTRICTED","2018/02/06",33,26,26.9483,"N",33.44081897,111,59,19.7443,"W",-111.98881786,"T",1134.1,111.75,""
"2026/02/19","00754.","A","AZ","PHX","PHOENIX","US","25L","RJG","LD","ARIZONA","AWP",7800,150,"I","O-CITY OF PHOENIX","O-CITY OF PHOENIX",258.04,12,"E","OPERATIONAL IFR","2000/08/30",33,25,43.8995,"N",33.42886097,112,1,49.6368,"W",-112.03045466,"T",1103.2,110.75,""
"2026/02/19","00754.","A","AZ","PHX","PHOENIX","US","26","CWJ","LD","ARIZONA","AWP",11489,150,"I","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION",258.08,12,"E","OPERATIONAL IFR","2001/08/08",33,26,27.1078,"N",33.44086327,112,1,59.2267,"W",-112.03311852,"T",1105.1,111.75,""
"2026/02/19","00763.","A","AZ","PRC","PRESCOTT","US","21L","PRC","LD","ARIZONA","AWP",7619,150,"I","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN",208.29,13,"E","OPERATIONAL IFR","1985/06/06",34,38,39.7745,"N",34.6443818,112,25,48.7744,"W",-112.43021511,"T",5042.5,108.5,""
"2026/02/19","00816.","A","AZ","TUS","TUCSON","US","12","TUS","LD","ARIZONA","AWP",10996,150,"I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.",126.02,9,"E","OPERATIONAL IFR","2018/07/19",32,5,53.16,"N",32.0981,110,55,5.69,"W",-110.91824722,"T",2660.2,111.7,""
"2026/02/19","00817.","A","AZ","DMA","TUCSON","US","13","AFB","LG","ARIZONA","AWP",13645,200,"I","A-U.S AIR FORCE","A-U.S AIR FORCE",122.39,9,"E","OPERATIONAL IFR","2016/04/06",32,9,0.645,"N",32.15017916,110,51,56.4324,"W",-110.86567566,"A",2709.7,109.3,""
"2026/02/19","00817.","A","AZ","DMA","TUCSON","US","31","DMA","LS","ARIZONA","AWP",13645,200,"I","A-U.S. AIR FORCE","A-U.S. AIR FORCE",308.41,9,"E","OPERATIONAL IFR","1966/12/29",32,11,2.818,"N",32.18411611,110,54,8.511,"W",-110.90236416,"A",2571.7,109.3,"U"
"2026/02/19","00818.","A","AZ","RYN","TUCSON","US","06R","IVI","LS","ARIZONA","AWP",5500,75,"I","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN",58,12,"E","OPERATIONAL IFR","1981/11/26",32,8,47.8858,"N",32.14663494,111,9,28.8419,"W",-111.15801163,"T",2402.8,111.1,""
"2026/02/19","00841.","A","AZ","NYL","YUMA","US","21R","YUM","LS","ARIZONA","AWP",13300,200,"I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.",213,11,"E","OPERATIONAL RESTRICTED","2018/02/06",32,38,4.046,"N",32.63445722,114,37,55.407,"W",-114.6320575,"N",187.2,108.3,"U"
"2026/02/19","00880.","A","AR","BVX","BATESVILLE","US","08","BVX","LE","ARKANSAS","ASW",6002,150,"I","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION",78.8,1,"E","OPERATIONAL IFR","2005/09/01",35,43,35.3477,"N",35.72648547,91,38,16.2217,"W",-91.63783936,"K",460.6,109.7,""
"2026/02/19","00886.39","A","AR","SUZ","BENTON","US","02","SUZ","LD","ARKANSAS","ASW",5002,100,"I","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION",18.98,1,"E","OPERATIONAL IFR","2007/12/20",34,36,16.83,"N",34.604675,92,28,23.3617,"W",-92.47315602,"T",388.9,111.95,""
"2026/02/19","00901.","A","AR","BYH","BLYTHEVILLE","US","18","BYH","LD","ARKANSAS","ASW",11602,150,"I","O-CITY OF BLYTHEVILLE","O-CITY OF BLYTHEVILLE",181,1,"W","OPERATIONAL IFR","1993/11/11",35,56,36.56,"N",35.94348888,89,56,38.243,"W",-89.94395638,"K",247.4,110.3,""
"2026/02/19","00964.","A","AR","ELD","EL DORADO","US","22","ELD","LD","ARKANSAS","ASW",6601,150,"I","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN",222.93,3,"E","OPERATIONAL IFR","1982/06/08",33,12,43.27,"N",33.21201944,92,49,16.04,"W",-92.82112222,"F",247.1,111.1,""
"2026/02/19","00975.","A","AR","FYV","FAYETTEVILLE","US","16","FYV","LE","ARKANSAS","ASW",6005,100,"I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.",166.95,2,"E","OPERATIONAL RESTRICTED","2024/10/07",35,59,37.6329,"N",35.99378691,94,10,2.4361,"W",-94.16734336,"T",1239.5,111.9,""
"2026/02/19","00975.","A","AR","FYV","FAYETTEVILLE","US","34","LFH","DD","ARKANSAS","ASW",6005,100,"I","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN",352.48,2,"E","OPERATIONAL RESTRICTED","2001/02/07",36,0,26.3845,"N",36.00732902,94,10,9.6585,"W",-94.16934958,"T",1240.3,111.9,""
"2026/02/19","00975.01","A","AR","XNA","FAYETTEVILLE/SPRINGDALE/ROGERS","US","16L","XNA","LD","ARKANSAS","ASW",8801,150,"I","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN",158.73,1,"E","OPERATIONAL IFR","1998/08/13",36,16,4.53,"N",36.267925,94,18,1.64,"W",-94.30045555,"T",1260.6,111.55,"U"
"2026/02/19","00975.01","A","AR","XNA","FAYETTEVILLE/SPRINGDALE/ROGERS","US","34R","FBS","LD","ARKANSAS","ASW",8801,150,"I","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN",338.74,1,"E","OPERATIONAL IFR","1998/08/13",36,17,44.9,"N",36.29580555,94,18,47.41,"W",-94.31316944,"T",1286.8,111.55,"U"
"2026/02/19","00987.","A","AR","FSM","FORT SMITH","US","08","GKV","LS","ARKANSAS","ASW",9318,150,"I","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION",80.19,1,"E","OPERATIONAL IFR","1980/01/01",35,20,16.5987,"N",35.33794408,94,20,50.041,"W",-94.34723361,"T",442.6,111.3,""
"2026/02/19","00987.","A","AR","FSM","FORT SMITH","US","26","FSM","LS","ARKANSAS","ASW",9318,150,"I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.",260.21,1,"E","OPERATIONAL RESTRICTED","2019/02/06",35,19,59.3062,"N",35.33314061,94,23,6.3867,"W",-94.38510741,"T",479.2,111.3,""
"2026/02/19","01002.","A","AR","HRO","HARRISON","US","36","HRO","LD","ARKANSAS","ASW",6161,150,"I","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN",358.83,4,"E","OPERATIONAL IFR","1979/07/12",36,16,8.7099,"N",36.26908608,93,9,18.6913,"W",-93.15519202,"K",1376.7,111.7,"N"
"2026/02/19","01023.","A","AR","HOT","HOT SPRINGS","US","05","HOT","LD","ARKANSAS","ASW",6595,150,"I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.",53.27,1,"E","OPERATIONAL IFR","1972/02/02",34,29,10.3408,"N",34.48620577,93,5,2.8641,"W",-93.08412891,"T",561.2,111.5,""
"2026/02/19","01028.21","A","AR","LRF","JACKSONVILLE","US","25","TYV","LS","ARKANSAS","ASW",12001,150,"I","A-U.S. AIR FORCE","A-U.S. AIR FORCE",250,1,"W","OPERATIONAL IFR","1977/04/11",34,54,36.96,"N",34.91026666,92,10,10.21,"W",-92.16950277,"M",285.5,109.9,""
"2026/02/19","01035.","A","AR","JBR","JONESBORO","US","23","JBR","LS","ARKANSAS","ASW",6200,150,"I","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN",230.23,0,"W","OPERATIONAL IFR","1993/12/09",35,49,31.6825,"N",35.82546736,90,39,22.2112,"W",-90.65616977,"T",256.8,110.15,"N"
"2026/02/19","01056.","A","AR","LIT","LITTLE ROCK","US","04L","LIT","LD","ARKANSAS","ASW",8273,150,"I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.",46.5,0,"E","OPERATIONAL IFR","1955/01/08",34,44,23.8446,"N",34.73995683,92,12,56.6905,"W",-92.21574736,"T",256.6,110.3,""
"2026/02/19","01056.","A","AR","LIT","LITTLE ROCK","US","04R","CNL","LD","ARKANSAS","ASW",8251,150,"I","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN",46.52,0,"E","OPERATIONAL IFR","1995/04/27",34,44,12.799,"N",34.73688861,92,11,55.9066,"W",-92.19886294,"T",250.4,111.3,""
"2026/02/19","01056.","A","AR","LIT","LITTLE ROCK","US","22L","BWY","LD","ARKANSAS","ASW",8251,150,"I","F-FEDERAL AVIATION ADMN","F-FEDERAL AVIATION ADMN",228.39,0,"E","OPERATIONAL IFR","1991/07/25",34,43,9.7246,"N",34.71936794,92,13,22.9187,"W",-92.22303297,"T",258.6,110.7,""
